
[<DEVICE ID 1bfa:0498 on Bus 001 Address 006>]
[u'USB::7162::1176::0000803::INSTR']
Metrolab Technology SA,THM1176-MF,0000803,elD1-prD0-fw3.1
Ranges: 0.1 T,0.3 T,1 T,3 T
Auto ranging? ON
---------------------------------------------------------------------------------
                         date           Bx           By           Bz          |B|
   2018-07-18 14:29:11.154838   +0.00409 T   -0.00368 T   -0.00370 T   0.00663 T
   2018-07-18 14:29:13.244908   +0.00426 T   -0.00354 T   -0.00302 T   0.00631 T
   2018-07-18 14:29:15.334051   +0.00378 T   -0.00339 T   -0.00316 T   0.00598 T
   2018-07-18 14:29:17.423926   +0.00490 T   -0.00446 T   -0.00455 T   0.00804 T
   2018-07-18 14:29:19.513584   +0.00426 T   -0.00459 T   -0.00413 T   0.00750 T
   2018-07-18 14:29:21.603562   +0.00490 T   -0.00489 T   -0.00399 T   0.00799 T
   2018-07-18 14:29:23.692972   +0.00571 T   -0.00418 T   -0.00374 T   0.00800 T
   2018-07-18 14:29:25.782678   +0.00412 T   -0.00370 T   -0.00317 T   0.00638 T
   2018-07-18 14:29:27.872422   +0.00443 T   -0.00417 T   -0.00331 T   0.00693 T
   2018-07-18 14:29:29.962186   +0.00440 T   -0.00351 T   -0.00314 T   0.00645 T
   2018-07-18 14:29:32.052040   +0.00487 T   -0.00456 T   -0.00438 T   0.00798 T
   2018-07-18 14:29:34.141719   +0.00536 T   -0.00382 T   -0.00301 T   0.00724 T
   2018-07-18 14:29:36.231354   +0.00427 T   -0.00401 T   -0.00496 T   0.00768 T
   2018-07-18 14:29:38.320894   +0.00393 T   -0.00426 T   -0.00287 T   0.00647 T
   2018-07-18 14:29:40.410595   +0.00456 T   -0.00441 T   -0.00355 T   0.00727 T
   2018-07-18 14:29:42.500342   +0.00537 T   -0.00324 T   -0.00399 T   0.00743 T
   2018-07-18 14:29:44.590359   +0.00381 T   -0.00312 T   -0.00332 T   0.00594 T
   2018-07-18 14:29:46.679735   +0.00520 T   -0.00427 T   -0.00397 T   0.00781 T
   2018-07-18 14:29:48.769477   +0.00473 T   -0.00413 T   -0.00370 T   0.00729 T
   2018-07-18 14:29:50.859155   +0.00506 T   -0.00385 T   -0.00386 T   0.00744 T
   2018-07-18 14:29:52.948856   +0.00567 T   -0.00471 T   -0.00411 T   0.00844 T
   2018-07-18 14:29:55.038517   +0.00473 T   -0.00458 T   -0.00370 T   0.00755 T
   2018-07-18 14:29:57.128593   +0.00489 T   -0.00337 T   -0.00370 T   0.00700 T
   2018-07-18 14:29:59.218087   +0.00472 T   -0.00396 T   -0.00452 T   0.00764 T
   2018-07-18 14:30:01.307760   +0.00522 T   -0.00491 T   -0.00386 T   0.00814 T
   2018-07-18 14:30:03.397489   +0.00552 T   -0.00396 T   -0.00396 T   0.00786 T
